team,idGame,dateGame,slugMatchup,slugTeamWinner,slugTeamLoser,pts_team,pts_opp
BOS,29600450,1997-01-05,PHX @ BOS,BOS,PHX,109,102
PHX,29600450,1997-01-05,PHX @ BOS,BOS,PHX,102,109
MIL,29600642,1997-02-01,PHI @ MIL,PHI,MIL,100,109
PHI,29600642,1997-02-01,PHI @ MIL,PHI,MIL,109,100
MIA,29700162,1997-11-22,MIA vs. TOR,MIA,TOR,108,104
TOR,29700162,1997-11-22,MIA vs. TOR,MIA,TOR,104,108
LAC,29700256,1997-12-06,ORL @ LAC,ORL,LAC,79,83
ORL,29700256,1997-12-06,ORL @ LAC,ORL,LAC,83,79
DEN,29700260,1997-12-07,LAC @ DEN,DEN,LAC,100,92
LAC,29700260,1997-12-07,LAC @ DEN,DEN,LAC,92,100
CHI,29700492,1998-01-10,GSW @ CHI,CHI,GSW,87,82
GSW,29700492,1998-01-10,GSW @ CHI,CHI,GSW,82,87
CHI,29700511,1998-01-13,SEA @ CHI,CHI,SEA,101,91
SEA,29700511,1998-01-13,SEA @ CHI,CHI,SEA,91,101
CHI,29700546,1998-01-18,HOU @ CHI,CHI,HOU,106,100
HOU,29700546,1998-01-18,HOU @ CHI,CHI,HOU,100,106
LAL,29700596,1998-01-24,LAL @ SEA,SEA,LAL,95,101
SEA,29700596,1998-01-24,LAL @ SEA,SEA,LAL,101,95
SEA,29701046,1998-03-31,SEA vs. UTA,SEA,UTA,88,86
UTA,29701046,1998-03-31,SEA vs. UTA,SEA,UTA,86,88
SAS,29701174,1998-04-17,SAS @ SEA,SAS,SEA,89,87
SEA,29701174,1998-04-17,SAS @ SEA,SAS,SEA,87,89
POR,29800502,1999-04-08,POR @ SEA,SEA,POR,86,87
SEA,29800502,1999-04-08,POR @ SEA,SEA,POR,87,86
NYK,29800571,1999-04-17,NYK vs. TOR,TOR,NYK,90,93
TOR,29800571,1999-04-17,NYK vs. TOR,TOR,NYK,93,90
GSW,29900118,1999-11-17,SEA vs. GSW,SEA,GSW,108,111
SEA,29900118,1999-11-17,SEA vs. GSW,SEA,GSW,111,108
DET,29900194,1999-11-28,DET vs. ORL,ORL,DET,99,108
ORL,29900194,1999-11-28,DET vs. ORL,ORL,DET,108,99
BOS,29900233,1999-12-04,PHI vs. BOS,PHI,BOS,74,77
PHI,29900233,1999-12-04,PHI vs. BOS,PHI,BOS,77,74
CHI,29900279,1999-12-10,CHI vs. NJN,CHI,NJN,71,69
NJN,29900279,1999-12-10,CHI vs. NJN,CHI,NJN,69,71
LAC,29900345,1999-12-19,VAN vs. LAC,VAN,LAC,84,85
VAN,29900345,1999-12-19,VAN vs. LAC,VAN,LAC,85,84
SAC,29900411,1999-12-29,SAC @ SEA,SAC,SEA,113,104
SEA,29900411,1999-12-29,SAC @ SEA,SAC,SEA,104,113
MIL,29900425,2000-01-03,MIL @ PHI,PHI,MIL,120,124
PHI,29900425,2000-01-03,MIL @ PHI,PHI,MIL,124,120
BOS,29900712,2000-02-15,BOS @ UTA,BOS,UTA,101,99
UTA,29900712,2000-02-15,BOS @ UTA,BOS,UTA,99,101
DAL,29900753,2000-02-21,IND vs. DAL,IND,DAL,93,94
IND,29900753,2000-02-21,IND vs. DAL,IND,DAL,94,93
DAL,29900792,2000-02-26,DAL vs. DEN,DAL,DEN,98,96
DEN,29900792,2000-02-26,DAL vs. DEN,DAL,DEN,96,98
BOS,20000294,2000-12-10,DEN @ BOS,BOS,DEN,104,102
DEN,20000294,2000-12-10,DEN @ BOS,BOS,DEN,102,104
ATL,20000398,2000-12-26,NJN vs. ATL,ATL,NJN,81,76
NJN,20000398,2000-12-26,NJN vs. ATL,ATL,NJN,76,81
DAL,20000454,2001-01-03,DAL vs. DET,DET,DAL,104,107
DET,20000454,2001-01-03,DAL vs. DET,DET,DAL,107,104
NYK,40000008,2001-04-22,NYK vs. TOR,NYK,TOR,92,85
TOR,40000008,2001-04-22,NYK vs. TOR,NYK,TOR,85,92
CHH,40000047,2001-05-17,MIL @ CHH,MIL,CHH,97,104
MIL,40000047,2001-05-17,MIL @ CHH,MIL,CHH,104,97
BOS,20100321,2001-12-15,CHH vs. BOS,BOS,CHH,106,97
CHH,20100321,2001-12-15,CHH vs. BOS,BOS,CHH,97,106
CHH,20101019,2002-03-27,CHH vs. ORL,CHH,ORL,111,104
ORL,20101019,2002-03-27,CHH vs. ORL,CHH,ORL,104,111
DEN,20201030,2003-03-26,DEN vs. MIL,DEN,MIL,108,103
MIL,20201030,2003-03-26,DEN vs. MIL,DEN,MIL,103,108
DET,20300790,2004-02-20,DET vs. MIN,MIN,DET,87,88
MIN,20300790,2004-02-20,DET vs. MIN,MIN,DET,88,87
DEN,20300860,2004-02-29,DEN vs. NYK,DEN,NYK,107,96
NYK,20300860,2004-02-29,DEN vs. NYK,DEN,NYK,96,107
NJN,20400248,2004-12-06,TOR @ NJN,NJN,TOR,88,86
TOR,20400248,2004-12-06,TOR @ NJN,NJN,TOR,86,88
MEM,20400818,2005-02-26,MEM @ SAS,MEM,SAS,84,82
SAS,20400818,2005-02-26,MEM @ SAS,MEM,SAS,82,84
BOS,20401014,2005-03-25,BOS vs. CHI,CHI,BOS,86,94
CHI,20401014,2005-03-25,BOS vs. CHI,CHI,BOS,94,86
DAL,20600448,2006-12-30,DAL vs. NOK,DAL,NOK,94,80
NOK,20600448,2006-12-30,DAL vs. NOK,DAL,NOK,80,94